,0,1,2,3,4,5,Coach,URL,TM,Season
0,43,us US,"Dec 6, 1977",Manager,Apr 1,Oct 3,Kevin Cash,/managers/cashke01.shtml,TBR,2021
1,47,us US,"Nov 14, 1973",Bench,Apr 1,,Matt Quatraro,/managers/quatrma99.shtml,TBR,2021
2,49,us US,"Oct 15, 1971",Hitting,Apr 1,,Chad Mottola,/players/m/mottoch01.shtml,TBR,2021
3,43,us US,"Sep 9, 1977",Pitching,Apr 1,,Kyle Snyder,/players/s/snydeky01.shtml,TBR,2021
4,57,us US,"Jul 14, 1963",Bullpen,Apr 1,,Stan Boroski,/register/player.fcgi?id=borosk001sta,TBR,2021
5,50,us US,"Sep 18, 1970",First Base,Apr 1,,Ozzie Timmons,/players/t/timmooz01.shtml,TBR,2021
6,43,us US,"Aug 7, 1977",Third Base,Apr 1,,Rodney Linares,/register/player.fcgi?id=linare001rod,TBR,2021
7,,,Unknown,Analytics,Apr 1,,Jonathan Erlichman,,TBR,2021
8,43,us US,"Nov 10, 1977",Bullpen Catcher,Apr 1,,Mikaela Dworken,/register/player.fcgi?id=dworke001mik,TBR,2021
9,45,us US,"Apr 14, 1976",Major League Field Coordinator,Apr 1,,Paul Hoover,/players/h/hoovepa01.shtml,TBR,2021
10,42,us US,"Dec 6, 1977",Manager,Jul 24,Sep 27,Kevin Cash,/managers/cashke01.shtml,TBR,2020
11,46,us US,"Nov 14, 1973",Bench,Jul 24,,Matt Quatraro,/managers/quatrma99.shtml,TBR,2020
12,48,us US,"Oct 15, 1971",Hitting,Jul 24,,Chad Mottola,/players/m/mottoch01.shtml,TBR,2020
13,42,us US,"Sep 9, 1977",Pitching,Jul 24,,Kyle Snyder,/players/s/snydeky01.shtml,TBR,2020
14,56,us US,"Jul 14, 1963",Bullpen,Jul 24,,Stan Boroski,/register/player.fcgi?id=borosk001sta,TBR,2020
15,49,us US,"Sep 18, 1970",First Base,Jul 24,,Ozzie Timmons,/players/t/timmooz01.shtml,TBR,2020
16,69,do DO,"Feb 28, 1951",Third Base,Jul 24,,Rufino Linares,/players/l/linarru01.shtml,TBR,2020
17,43,us US,"Dec 6, 1977",Manager,Apr 1,Oct 3,Kevin Cash,/managers/cashke01.shtml,TBR,2021
18,47,us US,"Nov 14, 1973",Bench,Apr 1,,Matt Quatraro,/managers/quatrma99.shtml,TBR,2021
19,49,us US,"Oct 15, 1971",Hitting,Apr 1,,Chad Mottola,/players/m/mottoch01.shtml,TBR,2021
20,43,us US,"Sep 9, 1977",Pitching,Apr 1,,Kyle Snyder,/players/s/snydeky01.shtml,TBR,2021
21,57,us US,"Jul 14, 1963",Bullpen,Apr 1,,Stan Boroski,/register/player.fcgi?id=borosk001sta,TBR,2021
22,50,us US,"Sep 18, 1970",First Base,Apr 1,,Ozzie Timmons,/players/t/timmooz01.shtml,TBR,2021
23,43,us US,"Aug 7, 1977",Third Base,Apr 1,,Rodney Linares,/register/player.fcgi?id=linare001rod,TBR,2021
24,,,Unknown,Analytics,Apr 1,,Jonathan Erlichman,,TBR,2021
25,43,us US,"Nov 10, 1977",Bullpen Catcher,Apr 1,,Mikaela Dworken,/register/player.fcgi?id=dworke001mik,TBR,2021
26,45,us US,"Apr 14, 1976",Major League Field Coordinator,Apr 1,,Paul Hoover,/players/h/hoovepa01.shtml,TBR,2021
27,42,us US,"Dec 6, 1977",Manager,Jul 24,Sep 27,Kevin Cash,/managers/cashke01.shtml,TBR,2020
28,46,us US,"Nov 14, 1973",Bench,Jul 24,,Matt Quatraro,/managers/quatrma99.shtml,TBR,2020
29,48,us US,"Oct 15, 1971",Hitting,Jul 24,,Chad Mottola,/players/m/mottoch01.shtml,TBR,2020
30,42,us US,"Sep 9, 1977",Pitching,Jul 24,,Kyle Snyder,/players/s/snydeky01.shtml,TBR,2020
31,56,us US,"Jul 14, 1963",Bullpen,Jul 24,,Stan Boroski,/register/player.fcgi?id=borosk001sta,TBR,2020
32,49,us US,"Sep 18, 1970",First Base,Jul 24,,Ozzie Timmons,/players/t/timmooz01.shtml,TBR,2020
33,69,do DO,"Feb 28, 1951",Third Base,Jul 24,,Rufino Linares,/players/l/linarru01.shtml,TBR,2020
34,41,us US,"Dec 6, 1977",Manager,Mar 28,Sep 29,Kevin Cash,/managers/cashke01.shtml,TBR,2019
35,45,us US,"Nov 14, 1973",Bench,Mar 28,,Matt Quatraro,/managers/quatrma99.shtml,TBR,2019
36,47,us US,"Oct 15, 1971",Hitting,Mar 28,,Chad Mottola,/players/m/mottoch01.shtml,TBR,2019
37,41,us US,"Sep 9, 1977",Pitching,Mar 28,,Kyle Snyder,/players/s/snydeky01.shtml,TBR,2019
38,55,us US,"Jul 14, 1963",Bullpen,Mar 28,,Stan Boroski,/register/player.fcgi?id=borosk001sta,TBR,2019
39,48,us US,"Sep 18, 1970",First Base,Mar 28,,Ozzie Timmons,/players/t/timmooz01.shtml,TBR,2019
40,41,us US,"Aug 7, 1977",Third Base,Mar 28,,Rodney Linares,/register/player.fcgi?id=linare001rod,TBR,2019
41,,,Unknown,Analytics,Mar 28,,Jonathan Erlichman,,TBR,2019
42,31,do DO,"Nov 20, 1987",Bullpen Catcher,Mar 28,,Mayo Acosta,/register/player.fcgi?id=acosta001may,TBR,2019
43,41,us US,"Nov 10, 1977",Bullpen Catcher,Mar 28,,Mikaela Dworken,/register/player.fcgi?id=dworke001mik,TBR,2019
44,31,do DO,"Apr 4, 1988",Catching Coordinator,Mar 28,,Tomas Francisco,/register/player.fcgi?id=franci001tom,TBR,2019
45,36,us US,"Oct 30, 1982",Field Coordinator,Mar 28,,Craig Albernaz,/register/player.fcgi?id=albern001cra,TBR,2019
