,Name,College_y
0,"Abdul-Wahad,Tariq",Michigan (1993–1994)San Jose State (1995–1997)
1,"Abdur-Rahim,Shareef",California (1995–1996)
2,"Alexander,Cory",Virginia (1991–1995)
3,"Allen,Ray",UConn (1993–1996)
4,"Aluma,Peter",Liberty (1993–1997)
5,"Anderson,Derek","['Ohio State (1992–1994)', 'Kentucky (1995–1997)']"
6,"Anderson,Kenny",Georgia Tech (1989–1991)
7,"Anderson,Nick",Illinois (1987–1989)
8,"Anderson,Shandon",Georgia (1992–1996)
9,"Anstey,Chris",
10,"Anthony,Greg","['Portland (1986–1987)', 'UNLV (1988–1991)']"
11,"Armstrong,B.J.",Iowa (1985–1989)
12,"Armstrong,Darrell",Fayetteville State (1988–1991)
13,"Askins,Keith",Alabama (1986–1990)
14,"Augmon,Stacey",UNLV (1987–1991)
15,"Austin,Isaac","['Reedley (1987–1989)', 'Arizona State (1989–1991)']"
16,"Avent,Anthony",Seton Hall (1988–1991)
17,"Bailey,Thurl",NC State (1979–1983)
18,"Bailey,Toby",UCLA (1994–1998)
19,"Baker,LaMark",Ohio State (1989–1992)
20,"Baker,Vin",Hartford (1989–1993)
21,"Barkley,Charles",Auburn (1981–1984)
22,"Barros,Dana",Boston  (1985–1989)
23,"Barry,Brent",Oregon State (1991–1995)
24,"Barry,Drew",Georgia Tech (1992–1996)
25,"Barry,Jon","['Pacific (1987–1988)', 'Paris JC (1989–1990)', 'Georgia Tech (1990–1992)']"
26,"Battie,Tony",Texas Tech (1994–1997)
27,"Beck,Corey","['South Plains (1990–1991)', 'Arkansas (1992–1995)']"
28,"Benjamin,Benoit",Creighton (1982–1985)
29,"Benjamin,Corey",Oregon State (1996–1998)
30,"Bennett,Mario",Arizona State (1991–1995)
31,"Best,Travis",Georgia Tech (1991–1995)
32,"Bibby,Mike",Arizona (1996–1998)
33,"Billups,Chauncey",Colorado (1995–1997)
34,"Blaylock,Mookie","['Midland (1985–1987)', 'Oklahoma (1987–1989)']"
35,"Blount,Corie","['Santa Ana  (1989–1991)', 'Cincinnati (1991–1993)']"
36,"Bogues,Muggsy",Wake Forest (1983–1987)
37,"Bohannon,Etdrick","['Arizona (1992–1993)', 'Tennessee (1994–1995)', 'Auburn Montgomery (1995–1997)']"
38,"Booth,Keith",Maryland (1993–1997)
39,"Bowen,Bruce",Cal State Fullerton (1989–1993)
40,"Boykins,Earl",Eastern Michigan (1994–1998)
41,"Bradley,Shawn",BYU (1990–1991)
42,"Brandon,Terrell",Oregon (1989–1991)
43,"Brown,Chucky",NC State (1985–1989)
44,"Brown,Dee",Jacksonville (1986–1990)
45,"Brown,Gerald",Pepperdine (1993–1998)
46,"Brown,P.J.",Louisiana Tech (1988–1992)
47,"Brown,Randy","['Houston (1986–1988)', 'New Mexico State (1989–1991)']"
48,"Brunson,Rick",Temple (1991–1995)
49,"Bryant,Kobe",
50,"Bryant,Mark",Seton Hall (1984–1988)
51,"Buechler,Jud",Arizona (1986–1990)
52,"Bullard,Matt",Colorado (1985–1987)Iowa (1988–1990)
53,"Burrell,Scott",UConn (1989–1993)
54,"Burton,Willie",Minnesota (1986–1990)
55,"Butler,Mitchell",UCLA (1989–1993)
56,"Caffey,Jason",Alabama (1991–1995)
57,"Camby,Marcus",UMass (1993–1996)
58,"Campbell,Elden",Clemson (1986–1990)
59,"Carr,Antoine",Wichita State (1979–1983)
60,"Carr,Chris",Southern Illinois (1992–1995)
61,"Carr,Cory",Texas Tech (1994–1998)
62,"Carter,Vince",North Carolina (1995–1998)
63,"Cassell,Sam","['San Jacinto (1989–1991)', 'Florida State (1991–1993)']"
64,"Cato,Kelvin","['South Alabama (1992–1993)', 'Iowa State (1995–1997)']"
65,"Causwell,Duane",Temple (1986–1990)
66,"Ceballos,Cedric","['Ventura (1986–1988)', 'Cal State Fullerton (1988–1990)']"
67,"Chapman,Rex",Kentucky (1986–1988)
68,"Cheaney,Calbert",Indiana (1989–1993)
69,"Chilcutt,Pete",North Carolina (1987–1991)
70,"Childs,Chris",Boise State (1985–1989)
71,"Christie,Doug",Pepperdine (1989–1992)
72,"Clark,Keon","['Irvine Valley (1994–1995)', 'Dixie State (1995–1996)', 'UNLV (1996–1998)']"
73,"Closs,Keith",Central Connecticut (1994–1996)
74,"Coker,John",Boise State (1991–1995)
75,"Coleman,Derrick",Syracuse (1986–1990)
76,"Coles,Bimbo",Virginia Tech (1986–1990)
77,"Conlon,Marty",Providence (1986–1990)
78,"Corbin,Tyrone",DePaul (1981–1985)
79,"Cotton,James",Long Beach State (1993–1997)
80,"Crawford,Chris",Memphis (2010–2014)
81,"Croshere,Austin",Providence (1993–1997)
82,"Crotty,John",Virginia (1987–1991)
83,"Cummings,Terry",DePaul (1979–1982)
84,"Cunningham,William",Temple (1992–1996)
85,"Curley,Bill",Boston  (1990–1994)
86,"Curry,Dell",Virginia Tech (1982–1986)
87,"Curry,Michael",Georgia Southern (1986–1990)
88,"Dampier,Erick",Mississippi State (1993–1996)
89,"Daniels,Antonio",Bowling Green (1993–1997)
90,"Dávid,Kornél",
91,"Davis,Antonio",UTEP (1986–1990)
92,"Davis,Ben","['Kansas (1991–1992)', 'Hutchinson CC (1993–1994)', 'Arizona (1994–1996)']"
93,"Davis,Dale",Clemson (1987–1991)
94,"Davis,Hubert",North Carolina (1988–1992)
95,"Davis,Mark",Old Dominion (1981–1985)
96,"Davis,Ricky",Iowa (1997–1998)
97,"Davis,Terry",Virginia Union (1985–1989)
98,"DeClercq,Andrew",Florida (1991–1995)
99,"Dehere,Terry",Seton Hall (1989–1993)
100,"Del Negro,Vinny",NC State (1984–1988)
101,"Dele,Bison","['Maryland (1987–1988)', 'Arizona (1988–1991)']"
102,"Delk,Tony",Kentucky (1992–1996)
103,"Dickerson,Michael",Arizona (1994–1998)
104,"Divac,Vlade",
105,"Doleac,Michael",Utah (1994–1998)
106,"Douglas,Sherman",Syracuse (1985–1989)
107,"Drew,Bryce",Valparaiso (1994–1998)
108,"Dudley,Chris",Yale (1983–1987)
109,"Dumars,Joe",McNeese State (1981–1985)
110,"Duncan,Tim",Wake Forest (1993–1997)
