,Date,Team,Player
0,"January 21, 1999",Utah Jazz,Shawnelle Scott
1,"January 21, 1999",Sacramento Kings,Isaac Fontaine
2,"January 21, 1999",New Jersey Nets,Steve Goodrich
3,"January 21, 1999",Orlando Magic,Jonathan Kerner
4,"January 21, 1999",Atlanta Hawks,Jeff Sheppard
5,"January 21, 1999",New York Knicks,Ben Davis
6,"January 21, 1999",Sacramento Kings,Peter Aluma
7,"January 21, 1999",Orlando Magic,Isaac Austin
8,"January 21, 1999",Utah Jazz,Anthony Avent
9,"January 21, 1999",Utah Jazz,Thurl Bailey
10,"January 21, 1999",Seattle SuperSonics,Drew Barry
11,"January 21, 1999",Vancouver Grizzlies,Corey Beck
12,"January 21, 1999",Washington Wizards,Etdrick Bohannon
13,"January 21, 1999",New Jersey Nets,Earl Boykins
14,"January 21, 1999",Charlotte Hornets,Chucky Brown
15,"January 21, 1999",New York Knicks,Rick Brunson
16,"January 21, 1999",Houston Rockets,John Coker
17,"January 21, 1999",Charlotte Hornets,Derrick Coleman
18,"January 21, 1999",Miami Heat,Mark Davis
19,"January 21, 1999",San Antonio Spurs,Mario Elie
20,"January 21, 1999",San Antonio Spurs,Andrew Gaze
21,"January 21, 1999",Philadelphia 76ers,Matt Geiger
22,"January 21, 1999",Philadelphia 76ers,Harvey Grant
23,"January 21, 1999",Cleveland Cavaliers,Litterial Green
24,"January 21, 1999",Los Angeles Lakers,Derek Harper
25,"January 21, 1999",Portland Trail Blazers,Michael Hawkins
26,"January 21, 1999",Atlanta Hawks,Anthony Johnson
27,"January 21, 1999",Orlando Magic,Damon Jones
28,"January 21, 1999",Utah Jazz,Chris King
29,"January 21, 1999",Toronto Raptors,Negele Knight
30,"January 21, 1999",Cleveland Cavaliers,Antonio Lang
31,"January 21, 1999",Philadelphia 76ers,George Lynch
32,"January 21, 1999",Minnesota Timberwolves,Mikki Moore
33,"January 21, 1999",Washington Wizards,Jeff McInnis
34,"January 21, 1999",Charlotte Hornets,Brad Miller
35,"January 21, 1999",New Jersey Nets,Eric Murdock
36,"January 21, 1999",Los Angeles Clippers,Tyrone Nesby
37,"January 21, 1999",Seattle SuperSonics,Moochie Norris
38,"January 21, 1999",Sacramento Kings,Kevin Ollie
39,"January 21, 1999",Indiana Pacers,Sam Perkins
40,"January 21, 1999",Seattle SuperSonics,Olden Polynice
41,"January 21, 1999",Charlotte Hornets,Eldridge Recasner
42,"January 21, 1999",Vancouver Grizzlies,Jason Sasser
43,"January 21, 1999",Boston Celtics,Dwayne Schintzius
44,"January 21, 1999",Charlotte Hornets,Charles Shackleford
45,"January 21, 1999",Toronto Raptors,Michael Stewart
46,"January 21, 1999",Miami Heat,Jamie Watson
47,"January 21, 1999",Atlanta Hawks,Mark West
48,"January 21, 1999",San Antonio Spurs,Brandon Williams
49,"January 21, 1999",Chicago Bulls,Kornél Dávid
50,"January 21, 1999",Golden State Warriors,Tony Farmer
51,"January 21, 1999",Vancouver Grizzlies,Makhtar N'Diaye
52,"January 21, 1999",Miami Heat,Adrian Griffin
53,"January 21, 1999",Washington Wizards,Randell Jackson
54,"January 21, 1999",Chicago Bulls,Charles Jones
55,"January 21, 1999",San Antonio Spurs,Gerard King
56,"January 21, 1999",Milwaukee Bucks,Donny Marshall
57,"January 21, 1999",Utah Jazz,Joe Stephens
58,"January 21, 1999",Seattle SuperSonics,Fred Vinson
59,"January 21, 1999",Houston Rockets,Anthony Miller
60,"January 22, 1999",San Antonio Spurs,Chris Garner
61,"January 22, 1999",Los Angeles Clippers,Juaquin Hawkins
62,"January 22, 1999",Portland Trail Blazers,Art Long
63,"January 22, 1999",Toronto Raptors,LaMark Baker
64,"January 22, 1999",Denver Nuggets,Kelly McCarty
65,"January 22, 1999",Denver Nuggets,Cory Alexander
66,"January 22, 1999",Portland Trail Blazers,Greg Anthony
67,"January 22, 1999",Sacramento Kings,Jon Barry
68,"January 22, 1999",Detroit Pistons,Jud Buechler
69,"January 22, 1999",Houston Rockets,Antoine Carr
70,"January 22, 1999",Toronto Raptors,William Cunningham
71,"January 22, 1999",Milwaukee Bucks,Dell Curry
72,"January 22, 1999",Sacramento Kings,Vlade Divac
73,"January 22, 1999",Minnesota Timberwolves,Troy Hudson
74,"January 22, 1999",Milwaukee Bucks,Adonis Jordan
75,"January 22, 1999",San Antonio Spurs,Jerome Kersey
76,"January 22, 1999",Phoenix Suns,Joe Kleine
77,"January 22, 1999",Sacramento Kings,Vernon Maxwell
78,"January 22, 1999",Denver Nuggets,Antonio McDyess
79,"January 22, 1999",Seattle SuperSonics,Billy Owens
80,"January 22, 1999",Vancouver Grizzlies,Cherokee Parks
81,"January 22, 1999",Miami Heat,Terry Porter
82,"January 22, 1999",Minnesota Timberwolves,Malik Sealy
83,"January 22, 1999",Minnesota Timberwolves,Joe Smith
84,"January 22, 1999",New York Knicks,Kurt Thomas
85,"January 22, 1999",Detroit Pistons,Loy Vaught
86,"January 22, 1999",Dallas Mavericks,Hot Rod Williams
87,"January 22, 1999",Los Angeles Clippers,Mark Blount
88,"January 22, 1999",Miami Heat,Rex Walters
89,"January 23, 1999",Phoenix Suns,Tom Gugliotta
90,"January 23, 1999",Denver Nuggets,Loren Meyer
91,"January 23, 1999",Dallas Mavericks,Gary Trent
92,"January 23, 1999",Denver Nuggets,Monty Williams
93,"January 24, 1999",Cleveland Cavaliers,Johnny Newman
94,"January 24, 1999",New York Knicks,Dennis Scott
95,"January 24, 1999",Miami Heat,Clarence Weatherspoon
96,"January 25, 1999",Phoenix Suns,Gerald Brown
97,"January 25, 1999",Chicago Bulls,Brent Barry
98,"January 26, 1999",Detroit Pistons,Charles O'Bannon
99,"January 26, 1999",Charlotte Hornets,Chuck Person
100,"January 26, 1999",Orlando Magic,Doug Overton
101,"January 26, 1999",Miami Heat,Thomas Hamilton
102,"January 27, 1999",Boston Celtics,Eric Riley
103,"January 29, 1999",Detroit Pistons,Mikki Moore
104,"January 29, 1999",Vancouver Grizzlies,DeJuan Wheat
105,"January 29, 1999",Phoenix Suns,Shawn Respert
106,"January 30, 1999",Minnesota Timberwolves,Trevor Winter
107,"January 30, 1999",Chicago Bulls,Mario Bennett
108,"January 30, 1999",Atlanta Hawks,LaPhonso Ellis
109,"February 1, 1999",Atlanta Hawks,Grant Long
110,"February 1, 1999",Sacramento Kings,Oliver Miller
111,"February 1, 1999",New York Knicks,David Wingate
112,"February 2, 1999",Milwaukee Bucks,Vinny Del Negro
113,"February 2, 1999",Portland Trail Blazers,Jim Jackson
114,"February 3, 1999",New Jersey Nets,Scott Burrell
115,"February 3, 1999",Phoenix Suns,Chris Morris
116,"February 3, 1999",Charlotte Hornets,Joe Wolf
117,"February 4, 1999",Los Angeles Clippers,Sherman Douglas
118,"February 4, 1999",Cleveland Cavaliers,Roy Rogers
119,"February 5, 1999",Houston Rockets,Stanley Roberts
120,"February 5, 1999",Orlando Magic,Dominique Wilkins
121,"February 12, 1999",Boston Celtics,Marlon Garnett
122,"February 14, 1999",Miami Heat,Blue Edwards
123,"February 16, 1999",New Jersey Nets,Damon Jones
124,"February 18, 1999",Detroit Pistons,Corey Beck
125,"February 22, 1999",Atlanta Hawks,Jeff Sheppard
126,"February 22, 1999",Sacramento Kings,Michael Hawkins
127,"February 23, 1999",Los Angeles Lakers,Dennis Rodman
128,"February 24, 1999",Sacramento Kings,Scot Pollard
129,"February 24, 1999",Philadelphia 76ers,Rick Mahorn
130,"February 28, 1999",Charlotte Hornets,Willie Burton
131,"March 3, 1999",Denver Nuggets,Carl Herrera
132,"March 3, 1999",New Jersey Nets,Doug Overton
133,"March 13, 1999",Cleveland Cavaliers,Corie Blount
134,"March 14, 1999",Orlando Magic,B.J. Armstrong
135,"March 19, 1999",Cleveland Cavaliers,Mitchell Butler
136,"August 1, 1999",New Jersey Nets,Jamie Feick
137,"August 1, 1999",Boston Celtics,Adrian Griffin
138,"August 1, 1999",Phoenix Suns,Oliver Miller
139,"August 2, 1999",Detroit Pistons,Michael Curry
140,"August 2, 1999",Portland Trail Blazers,Detlef Schrempf
141,"August 3, 1999",Boston Celtics,Wayne Turner
142,"August 3, 1999",Denver Nuggets,George McCloud
143,"August 3, 1999",Phoenix Suns,Rodney Rogers
144,"August 4, 1999",Sacramento Kings,Darrick Martin
145,"August 4, 1999",Miami Heat,Otis Thorpe
146,"August 5, 1999",Boston Celtics,Calbert Cheaney
147,"August 5, 1999",Toronto Raptors,Dell Curry
148,"August 5, 1999",San Antonio Spurs,Terry Porter
149,"August 6, 1999",Miami Heat,Mark Davis
150,"August 6, 1999",Miami Heat,Anthony Carter
151,"August 6, 1999",New York Knicks,John Wallace
152,"August 9, 1999",Seattle SuperSonics,Vernon Maxwell
153,"August 10, 1999",Seattle SuperSonics,Ruben Patterson
154,"August 12, 1999",Cleveland Cavaliers,Mark Bryant
155,"August 12, 1999",Seattle SuperSonics,Shammond Williams
156,"August 16, 1999",Sacramento Kings,Tony Delk
157,"August 17, 1999",Seattle SuperSonics,Greg Foster
158,"August 17, 1999",Charlotte Hornets,Eddie Robinson
159,"August 17, 1999",Washington Wizards,Aaron Williams
160,"August 18, 1999",Charlotte Hornets,Todd Fuller
161,"August 19, 1999",Washington Wizards,Jonathan Kerner
162,"August 19, 1999",Seattle SuperSonics,Fred Vinson
163,"August 20, 1999",Seattle SuperSonics,Emanual Davis
164,"August 20, 1999",Milwaukee Bucks,J.R. Reid
165,"August 25, 1999",Chicago Bulls,Will Perdue
166,"August 26, 1999",San Antonio Spurs,Samaki Walker
167,"August 27, 1999",Utah Jazz,Olden Polynice
168,"August 27, 1999",Vancouver Grizzlies,Dennis Scott
169,"August 30, 1999",Chicago Bulls,B.J. Armstrong
170,"August 31, 1999",San Antonio Spurs,Felton Spencer
171,"September 1, 1999",Miami Heat,Harold Jamison
172,"September 2, 1999",Denver Nuggets,Shawnelle Scott
173,"September 2, 1999",Houston Rockets,Thomas Hamilton
174,"September 8, 1999",Phoenix Suns,Corie Blount
175,"September 8, 1999",Sacramento Kings,Bill Wennington
176,"September 14, 1999",Chicago Bulls,Fred Hoiberg
177,"September 14, 1999",New Jersey Nets,Michael Cage
178,"September 16, 1999",Philadelphia 76ers,Bruce Bowen
179,"September 16, 1999",Vancouver Grizzlies,Grant Long
180,"September 17, 1999",Seattle SuperSonics,Lazaro Borrell
181,"September 17, 1999",Orlando Magic,Monty Williams
182,"September 20, 1999",Orlando Magic,John Amaechi
183,"September 20, 1999",Washington Wizards,Gerard King
184,"September 20, 1999",Detroit Pistons,Terry Mills
185,"September 20, 1999",Orlando Magic,Chucky Atkins
186,"September 22, 1999",Milwaukee Bucks,Darvin Ham
187,"September 23, 1999",Toronto Raptors,Muggsy Bogues
188,"September 25, 1999",San Antonio Spurs,Ira Newble
189,"September 28, 1999",Los Angeles Lakers,Benoit Benjamin
190,"September 28, 1999",New York Knicks,Andrew Lang
191,"September 29, 1999",Houston Rockets,Shandon Anderson
192,"September 29, 1999",Vancouver Grizzlies,Milt Palacio
193,"September 29, 1999",Los Angeles Lakers,John Salley
194,"October 1, 1999",Sacramento Kings,Art Long
195,"October 1, 1999",San Antonio Spurs,Chucky Brown
196,"October 1, 1999",Washington Wizards,Michael Smith
197,"October 1, 1999",Washington Wizards,Reggie Jordan
198,"October 1, 1999",Denver Nuggets,Roy Rogers
199,"October 1, 1999",Indiana Pacers,Žan Tabak
200,"October 2, 1999",Sacramento Kings,Tyrone Corbin
201,"October 3, 1999",Utah Jazz,Pete Chilcutt
202,"October 4, 1999",Cleveland Cavaliers,Tony Smith
203,"October 4, 1999",Indiana Pacers,Mitchell Butler
204,"October 4, 1999",Dallas Mavericks,Zendon Hamilton
205,"October 4, 1999",Vancouver Grizzlies,Stephen Jackson
206,"October 4, 1999",Golden State Warriors,Tim Legler
207,"October 4, 1999",Los Angeles Clippers,Anthony Avent
208,"October 4, 1999",Detroit Pistons,Marcus Brown
209,"October 4, 1999",Golden State Warriors,Bill Curley
210,"October 4, 1999",Golden State Warriors,Mark Davis
211,"October 4, 1999",Phoenix Suns,Todd Day
212,"October 4, 1999",Golden State Warriors,Tony Farmer
213,"October 4, 1999",Detroit Pistons,Michael Hawkins
214,"October 4, 1999",Charlotte Hornets,Derek Hood
215,"October 4, 1999",Detroit Pistons,Jermaine Jackson
216,"October 4, 1999",Los Angeles Clippers,Charles Jones
217,"October 4, 1999",Golden State Warriors,Damon Jones
218,"October 4, 1999",Toronto Raptors,Antonio Lang
219,"October 4, 1999",Charlotte Hornets,Jason Miskiri
220,"October 4, 1999",Seattle SuperSonics,Chuck Person
221,"October 4, 1999",Vancouver Grizzlies,Joe Stephens
222,"October 4, 1999",Cleveland Cavaliers,Jamel Thomas
223,"October 5, 1999",Detroit Pistons,Mikki Moore
